CPU Name,Price1,CPU Mark,CPU Value2,Thread Mark,Thread Value3,TDP (W),Power Perf.4,Test Date5,Socket,Category,
Intel Core i7-4750HQ @ 2.00GHz,NA,8202,NA,1739,NA,47,174,Jun-13,FCBGA1364,Laptop,
Intel Core i7-2600 @ 3.40GHz,$116.20 ,8185,70.45,1922,16.54,95,86,Dec-10,LGA1155,Desktop,
Intel Core i7-5675C @ 3.10GHz,NA,8164,NA,2196,NA,65,125,Oct-15,LGA1150,Desktop,
Intel Xeon D-2123IT @ 2.20GHz,$213.00*,8150,38.26,1651,7.75,60,135,Sep-18,FCBGA2518,Server,
Intel Core i5-8350U @ 1.70GHz,$297.00*,8139,27.41,2063,6.95,15,542,Dec-17,FC-BGA1356,Laptop,
Intel Core i5-5675C @ 3.10GHz,$309.95*,8135,26.25,2141,6.91,65,125,Jul-15,FCLGA1150,Desktop,
Intel Core i7-6700HQ @ 2.60GHz,$378.00*,8127,21.5,1799,4.76,45,180,Aug-15,FCBGA1440,Laptop,
Intel Core i7-3720QM @ 2.60GHz,$363.00*,8122,22.38,1820,5.01,45,180,Apr-12,BGA1224,Laptop,
Intel Xeon E3-1275 @ 3.40GHz,$304.00 ,8122,26.72,1934,6.36,95,85,Apr-11,LGA1155,Server,
Intel Core i7-4722HQ @ 2.40GHz,NA,8093,NA,1941,NA,37,218,Jul-15,FCBGA1364,Laptop,
AMD Ryzen 7 3700U,NA,8086,NA,1848,NA,15,539,Apr-19,FP5,Laptop,
Intel Core i5-6600K @ 3.50GHz,$263.11*,8058,30.63,2146,8.16,91,88,Aug-15,FCLGA1151,Desktop,
Intel Xeon D-1559 @ 1.50GHz,NA,8055,NA,877,NA,45,179,Aug-17,FCBGA1667,Server,
Intel Xeon E5-2630L @ 2.00GHz,NA,8041,NA,1237,NA,60,134,May-14,LGA 2011,Server,
Intel Xeon E3-1245 @ 3.30GHz,$105.99 ,8040,75.86,1886,17.8,95,84,May-11,LGA1155,Server,
AMD FX-8320 Eight-Core,$138.01 ,8037,58.24,1396,10.12,125,64,Oct-12,AM3+,Desktop,
Intel Core i3-8300T @ 3.20GHz,$170.49*,8032,47.11,1888,11.07,25,321,Jun-18,FCLGA1151-2,Desktop,
Intel Xeon W3670 @ 3.20GHz,$499.99*,8021,16.04,1434,2.87,130,61,Apr-11,LGA1366,Server,
Intel Core i5-8365UE @ 1.60GHz,$297.00*,8010,26.97,2283,7.69,15,534,Nov-19,FCBGA1528,Laptop,
Intel Core i5-8265U @ 1.60GHz,$297.00*,8009,26.97,2144,7.22,15,533,Sep-18,FCBGA1528,Laptop,
Intel Core i3-8100 @ 3.60GHz,$129.99 ,8008,61.61,2097,16.14,65,123,Oct-17,FCLGA1151-2,Desktop,
AMD Ryzen 3 PRO 1300,NA,7994,NA,1992,NA,65,122,Sep-17,AM4,Desktop,
Intel Xeon X5675 @ 3.07GHz,$52.99 ,7993,150.86,1415,26.71,95,84,Feb-11,LGA1366,Server,
Intel Core i5-5675R @ 3.10GHz,NA,7991,NA,2062,NA,65,122,Jun-16,FCBGA1364,Desktop,
Intel Core i7-4720HQ @ 2.60GHz,NA,7990,NA,1908,NA,47,170,Dec-14,BGA1364,Laptop,
AMD Ryzen 3 PRO 2200G,NA,7986,NA,1943,NA,65,122,Mar-18,AM4,Desktop,
Intel Core i5-7600T @ 2.80GHz,$255.70 ,7983,31.22,2106,8.24,35,228,Jan-17,FCLGA1151,Desktop,
Intel Core i7-4710MQ @ 2.50GHz,$271.57*,7982,29.4,1898,6.99,47,169,Apr-14,FCPGA946,Laptop,
Intel Xeon E3-1240 @ 3.30GHz,$97.99 ,7975,81.39,1855,18.93,80,99,May-11,LGA1155,Server,
Intel Xeon E3-1225 v6 @ 3.30GHz,$265.42 ,7958,29.99,2129,8.02,73,109,May-17,FCLGA1151,Server,
Intel Core i5-7500 @ 3.40GHz,$206.75 ,7938,38.4,2114,10.23,65,122,Dec-16,LGA1151,Desktop,
AMD Ryzen 5 3500U,NA,7919,NA,1809,NA,15,527,Mar-19,FP5,Laptop,
Intel Xeon E5-2620 @ 2.00GHz,$28.99 ,7905,272.69,1232,42.51,95,83,Apr-12,LGA2011,Server,
Intel Core i7-4860EQ @ 1.80GHz,NA,7899,NA,1745,NA,47,168,Nov-15,FCBGA1364,Laptop,
AMD Ryzen 3 3200G,$94.99 ,7888,83.04,2016,21.23,65,121,Jul-19,AM4,Desktop,
Intel Xeon E3-1505L v6 @ 2.20GHz,NA,7887,NA,1725,NA,25,315,May-17,FCBGA1440,Laptop, Server
AMD FX-8370E Eight-Core,$320.09 ,7864,24.57,1421,4.44,95,82,Sep-14,AM3+,Desktop,
Intel Xeon E5-2608L v3 @ 2.00GHz,$441.00*,7857,17.82,1203,2.73,52,151,Jan-18,LGA2011-v3,Server,
Intel Xeon E3-1230 @ 3.20GHz,$95.99 ,7851,81.79,1837,19.15,80,98,Apr-11,LGA1155,Server,
Intel Xeon E3-1268L v3 @ 2.30GHz,NA,7850,NA,1949,NA,45,174,Sep-14,LGA1150,Server,
Intel Xeon E3-1225 v5 @ 3.30GHz,$290.00*,7834,27.02,1968,6.79,80,97,Feb-16,FCLGA1151,Server,
Intel Xeon E5-2430L @ 2.00GHz,$32.28*,7834,242.71,1204,37.33,60,130,Dec-17,FCLGA1356,Server,
Intel Xeon E-2104G @ 3.20GHz,$193.00*,7825,40.54,1927,9.98,65,120,Oct-18,FCLGA1151-2,Server,
AMD Opteron 6328,$359.00 ,7813,21.76,1311,3.65,115,67,Jul-13,G34,Server,
Intel Xeon X5670 @ 2.93GHz,$43.95 ,7812,177.76,1363,31.03,95,82,Mar-10,LGA1366,Server,
Intel Core i5-4690K @ 3.50GHz,$159.00 ,7799,49.05,2235,14.06,88,88,Jun-14,LGA1150,Desktop,
Intel Xeon E3-1240L v5 @ 2.10GHz,$278.00*,7793,28.03,1762,6.34,25,311,Sep-17,FCLGA1151,Server,
Intel Core i5-8265UC @ 1.60GHz,NA,7780,NA,2143,NA,NA,NA,May-19,FCBGA1528,Laptop,
Intel Core i5-6600 @ 3.30GHz,$262.13*,7775,29.66,2095,7.99,65,119,Sep-15,LGA 1151,Desktop,
Intel Xeon E3-1220 v5 @ 3.00GHz,$266.46*,7772,29.17,1950,7.32,80,97,Jan-16,FCLGA1151,Server,
AMD FX-8300 Eight-Core,$119.99*,7771,64.77,1404,11.7,95,81,Jan-13,AM3+,Desktop,
Intel Xeon E3-1220 v6 @ 3.00GHz,$220.48 ,7769,35.24,1754,7.96,72,107,Nov-17,FCLGA1151,Server,
Intel Xeon E3-1235 @ 3.20GHz,$244.00 ,7757,31.79,1849,7.58,95,81,Jun-11,LGA1155,Server,
AMD FX-8310 Eight-Core,NA,7735,NA,1397,NA,95,81,Oct-14,AM3+,Desktop,
Intel Core i7-4700HQ @ 2.40GHz,$383.00*,7734,20.19,1792,4.68,47,164,Jan-13,FCBGA1364,Laptop,
Intel Xeon D-1537 @ 1.70GHz,$571.00*,7731,13.54,724,1.27,35,220,Apr-18,FCBGA1667,Server,
Intel Core i7-4710HQ @ 2.50GHz,$378.00*,7723,20.43,1819,4.81,47,164,May-14,FCBGA1364,Laptop,
Intel Xeon E5-2430 @ 2.20GHz,$101.12 ,7695,76.1,1089,10.77,95,81,Jan-12,LGA 1356,Server,
Intel Core i5-4690 @ 3.50GHz,$238.80 ,7690,32.2,2217,9.29,84,91,May-14,LGA1150,Desktop,
Intel Core i7-4700MQ @ 2.40GHz,$189.00*,7690,40.69,1809,9.57,47,163,Jun-13,rPGA946B,Laptop,
AMD Opteron 6238,$359.89*,7673,21.32,992,2.76,115,66,Dec-14,Socket G34,Server,
Intel Core i3-9100T @ 3.10GHz,$122.00*,7673,62.9,2154,17.66,35,219,Jul-19,FCLGA1151-2,Desktop,
AMD FX-8150 Eight-Core,$118.95 ,7656,64.37,1339,11.26,125,61,Sep-11,AM3+,Desktop,
Intel Core i5-8250U @ 1.60GHz,NA,7650,NA,1926,NA,15,510,Jul-17,FC-BGA1356,Laptop,
Intel Core i5-7440HQ @ 2.80GHz,NA,7641,NA,2099,NA,45,169,Feb-17,BGA1440,Laptop,
Intel Core i7-4785T @ 2.20GHz,NA,7639,NA,1779,NA,35,218,Jun-14,FCLGA1150,Desktop,
Intel Core i5-4670K @ 3.40GHz,$299.95 ,7635,25.46,2187,7.29,84,90,Jun-13,LGA1150,Desktop,
Intel Xeon X5660 @ 2.80GHz,$63.19 ,7589,120.11,1304,20.64,95,79,Apr-10,LGA1366,Server,
Intel Core i7-3630QM @ 2.40GHz,$239.00*,7581,31.72,1684,7.05,45,168,Jan-12,rPGA988B,Laptop,
AMD FX-8320E Eight-Core,$136.99 ,7576,55.31,1365,9.97,95,79,Oct-14,AM3+,Desktop,
Intel Xeon E3-1226 v3 @ 3.30GHz,$595.00*,7574,12.73,2097,3.53,84,90,Jul-14,FCLGA1150,Server,
AMD Ryzen 3 1300X,$127.85 ,7551,59.06,1890,14.78,65,116,Aug-17,AM4,Desktop,
Intel Core i7-4712HQ @ 2.30GHz,NA,7532,NA,1761,NA,37,203,Jun-14,FCBGA1364,Laptop,
AMD Ryzen 3 PRO 2200GE,NA,7524,NA,1857,NA,35,214,May-18,AM4,Desktop,
AMD Opteron 6366 HE,$29.99*,7503,250.19,754,25.17,85,88,Apr-14,NA,Server,
Intel Xeon E3-1240L v3 @ 2.00GHz,NA,7486,NA,1744,NA,25,299,Feb-15,FCLGA1150,Server,
Intel Core i5-5575R @ 2.80GHz,NA,7484,NA,1888,NA,65,115,Dec-15,LGA1150,Desktop,
Intel Xeon W-2104 @ 3.20GHz,$255.00*,7475,29.32,1684,6.61,120,62,Oct-18,FCLGA2066,Server,
Intel Core i5-4670 @ 3.40GHz,$379.95 ,7473,19.67,2157,5.68,84,88,Jun-13,LGA1150,Desktop,
Intel Core i7-3615QE @ 2.30GHz,NA,7458,NA,1731,NA,45,165,Apr-12,BGA1224,Laptop,
Intel Core i7-3610QM @ 2.30GHz,$399.99*,7457,18.64,1637,4.09,45,165,Apr-12,PGA988B,Laptop,
Intel Xeon E3-1265L V2 @ 2.50GHz,$148.00 ,7455,50.37,1682,11.37,45,165,Sep-12,LGA1155,Server,
Intel Core i5-4690S @ 3.20GHz,$359.21*,7433,20.69,2199,6.12,65,114,May-14,LGA1150,Desktop,
Intel Xeon E5-1410 v2 @ 2.80GHz,NA,7430,NA,1690,NA,80,92,Aug-15,LGA 1356,Server,
AMD Ryzen 5 3580U,NA,7429,NA,1683,NA,15,495,Oct-19,FP5,Laptop,
Intel Core i5-4670R @ 3.00GHz,$276.00*,7419,26.88,2159,7.82,65,114,Jul-18,FCBGA1364,Desktop,
Intel Core i7-4702HQ @ 2.20GHz,NA,7416,NA,1697,NA,37,200,Apr-13,FCBGA1364,Laptop,
Intel Core i5-4670K CPT @ 3.40GHz,NA,7411,NA,2099,NA,84,88,Dec-14,LGA1150,Desktop,
AMD Ryzen 7 2700U,NA,7409,NA,1676,NA,15,493,Dec-17,FP5,Laptop,
Intel Core i5-4670S @ 3.10GHz,$213.00*,7407,34.78,2148,10.09,65,113,Jan-13,FCLGA1150,Desktop,
Intel Core i7-3615QM @ 2.30GHz,NA,7389,NA,1647,NA,45,164,May-12,BGA1224,Laptop,
AMD Ryzen 5 2500U,NA,7346,NA,1667,NA,15,489,Nov-17,FP5,Laptop,
Intel Core i5-4590 @ 3.30GHz,$119.99 ,7342,61.19,2115,17.63,84,87,May-14,LGA1150,Desktop,
AMD Ryzen 3 2200G,$78.00 ,7332,94.01,1844,23.64,65,112,Feb-18,AM4,Desktop,
Intel Core i3-8100T @ 3.10GHz,$129.00*,7314,56.7,1825,14.15,35,208,Aug-18,FCLGA1151-2,Desktop,
Intel Core i7-4765T @ 2.00GHz,$399.99*,7305,18.26,1693,4.23,35,208,Apr-13,FCLGA1150,Desktop,
Intel Xeon X5650 @ 2.67GHz,$69.43 ,7290,105.01,1248,17.99,95,76,Feb-10,LGA1366,Server,
Intel Core i5-6600T @ 2.70GHz,$299.95*,7273,24.25,1932,6.44,35,207,Oct-15,LGA 1151,Desktop,
Intel Xeon E5-1607 v4 @ 3.10GHz,NA,7270,NA,1786,NA,140,51,Nov-16,FCLGA2011-3,Server,
Intel Xeon E5-1410 @ 2.80GHz,$48.99*,7265,148.31,1654,33.77,80,90,Jan-12,LGA1356,Server,
Intel Core i5-6500 @ 3.20GHz,$160.89 ,7247,45.05,1948,12.11,65,111,Sep-15,LGA 1151,Desktop,
Intel Xeon E3-1225 v3 @ 3.20GHz,$135.99 ,7238,53.23,2011,14.79,84,86,Jun-13,LGA1150,Server,
Intel Core i5-7400 @ 3.00GHz,$207.81*,7234,34.81,1944,9.36,65,111,Jan-17,FCLGA1151,Desktop,
Intel Xeon E3-1230L v3 @ 1.80GHz,$287.90*,7231,25.12,1588,5.52,25,289,Dec-13,LGA1150,Server,
Intel Core i7-2960XM @ 2.70GHz,$409.95*,7224,17.62,1698,4.14,55,131,Oct-11,PGA988B,Laptop,
Intel Core i7-4700EQ @ 2.40GHz,NA,7203,NA,1831,NA,47,153,Jun-13,FCBGA1364,Desktop,
Intel Core i7-4712MQ @ 2.30GHz,NA,7203,NA,1747,NA,37,194,May-14,FCPGA946,Laptop,
Intel Core i5-3570K @ 3.40GHz,$324.88 ,7186,22.12,2029,6.25,77,93,Apr-12,LGA1155,Desktop,
Intel Xeon E3-1220 v3 @ 3.10GHz,$133.99 ,7183,53.61,1951,14.57,80,89,Jan-11,LGA1150,Server,
Intel Core i5-4570 @ 3.20GHz,$69.00 ,7155,103.7,2057,29.82,84,85,Jun-13,LGA1150,Desktop,
Intel Core i5-3570 @ 3.40GHz,$79.99 ,7142,89.29,2022,25.29,77,92,Jul-12,LGA1155,Desktop,
Intel Core i7-4702MQ @ 2.20GHz,$218.45 ,7132,32.65,1703,7.8,37,192,Jan-13,FCPGA946,Laptop,
Intel Core i5-6402P @ 2.80GHz,$189.99*,7100,37.37,1899,10,65,109,Apr-16,LGA 1151,Desktop,
Intel Core i7-2600S @ 2.80GHz,$105.12 ,7092,67.47,1810,17.23,65,109,Feb-11,LGA1155,Desktop,
AMD Ryzen Embedded V1605B,NA,7087,NA,1756,NA,15,472,Oct-18,FP5,Laptop,
AMD Ryzen 3 PRO 1200,NA,7075,NA,1780,NA,65,108,Aug-17,AM4,Desktop,
Intel Core i5-4590S @ 3.00GHz,$211.07 ,7075,33.52,2100,9.95,65,108,May-14,LGA1150,Desktop,
Intel Xeon E5-2420 @ 1.90GHz,$390.02*,7063,18.11,1119,2.87,95,74,Jun-12,LGA1356,Server,
AMD Ryzen 3 PRO 2300U,NA,7053,NA,1735,NA,15,470,May-18,FP5,Laptop,
Intel Xeon E5-1607 v3 @ 3.10GHz,NA,7039,NA,1775,NA,140,50,Feb-15,LGA2011-v3,Server,
AMD FX-6350 Six-Core,$144.99 ,7022,48.44,1484,10.24,125,56,May-13,AM3+,Desktop,
Intel Core i7-2920XM @ 2.50GHz,$440.44*,6998,15.89,1650,3.75,55,127,Feb-11,FCPGA988,Laptop,
Intel Xeon W-2102 @ 2.90GHz,$235.05*,6981,29.7,1622,6.9,120,58,Jun-18,FCLGA2066,Server,
Intel Xeon D-1521 @ 2.40GHz,NA,6980,NA,1441,NA,45,155,Feb-16,FCBGA1667,Server,
AMD Ryzen 3 2200GE,NA,6976,NA,1842,NA,35,199,Aug-18,AM4,Desktop,
Intel Xeon X5687 @ 3.60GHz,$56.32*,6976,123.88,1605,28.51,130,53,Apr-11,LGA1366,Server,
Intel Xeon E3-1225 V2 @ 3.20GHz,$69.00 ,6968,100.99,1918,27.81,77,90,Sep-12,LGA1155,Server,
Intel Core i5-3550 @ 3.30GHz,$99.99*,6966,69.67,1970,19.71,77,90,Mar-12,LGA1155,Desktop,
AMD FX-6330 Six-Core,NA,6954,NA,1484,NA,95,73,Nov-16,AM3+,Desktop,
Intel Core i7-2860QM @ 2.50GHz,$541.00*,6949,12.85,1649,3.05,45,154,Sep-11,BGA1224,Laptop,
Intel Xeon Platinum 8151 @ 3.40GHz,NA,6947,NA,2257,NA,NA,NA,May-19,NA,Server,
Intel Core i5-7500T @ 2.70GHz,$294.10 ,6929,23.56,1854,6.31,35,197,Jan-17,FCLGA1151,Desktop,
Intel Core i7-3632QM @ 2.20GHz,$224.05 ,6928,30.92,1562,6.97,35,197,Sep-12,rPGA988B,Laptop,
Intel Xeon E5-2609 v4 @ 1.70GHz,$359.73*,6925,19.25,983,2.73,85,81,Aug-16,FCLGA2011-3,Server,
Intel Core i5-3550S @ 3.00GHz,$302.45 ,6916,22.87,1979,6.55,65,106,Jun-12,LGA1155,Desktop,
Intel Xeon Bronze 3106 @ 1.70GHz,$356.27*,6890,19.34,954,2.68,85,81,Apr-18,FCLGA3647,Server,
AMD Ryzen 3 PRO 3300U,NA,6888,NA,1835,NA,15,459,May-19,FP5,Laptop,
Intel Xeon E5649 @ 2.53GHz,$104.07*,6869,66.01,1186,11.4,80,85,Aug-11,LGA1366,Server,
Intel Xeon L5639 @ 2.13GHz,NA,6869,NA,1141,NA,60,114,Jul-13,LGA1366,Server,
Intel Core i5-4570S @ 2.90GHz,$139.99 ,6833,48.81,2004,14.32,65,105,Jun-13,LGA1150,Desktop,
Intel Core i7-3612QM @ 2.10GHz,NA,6818,NA,1521,NA,35,194,May-12,PGA988B, FCBGA12,Laptop
Intel Core i5-6440HQ @ 2.60GHz,NA,6807,NA,1875,NA,45,151,Jan-16,LGA 1151,Laptop,
AMD Ryzen 3 1200,$59.99 ,6795,113.27,1720,28.68,65,104,Jun-17,AM4,Desktop,
AMD Opteron 6220,$59.99*,6785,113.11,1136,18.94,115,59,Jul-13,Socket G34,Server,
Intel Core i5-4570R @ 2.70GHz,NA,6768,NA,1864,NA,65,104,Apr-13,FCBGA1364,Desktop,
Intel Core i7-2840QM @ 2.40GHz,NA,6766,NA,1658,NA,NA,NA,Sep-12,rPGA988B,Laptop,
AMD Opteron 4386,$139.99*,6761,48.3,964,6.89,95,71,Jun-14,C32,Server,
Intel Core i5-6400 @ 2.70GHz,$228.83*,6754,29.52,1824,7.97,65,103,Aug-15,LGA 1151,Desktop,
Intel Xeon X5677 @ 3.47GHz,$85.00*,6754,79.46,1504,17.7,130,51,Mar-10,LGA1366,Server,
AMD Opteron 6272,$69.99 ,6748,96.42,695,9.94,115,58,Dec-11,G34,Server,
Intel Core i5-3570S @ 3.10GHz,$285.00*,6733,23.63,1966,6.9,65,103,Jul-12,LGA1155,Desktop,
Intel Xeon E3-1220 V2 @ 3.10GHz,$59.96 ,6733,112.3,1826,30.47,69,97,Jul-12,LGA1155,Server,
Intel Core i7-4770TE @ 2.30GHz,NA,6732,NA,1574,NA,45,149,Jul-15,LGA1150,Desktop,
Intel Core i5-3470 @ 3.20GHz,$69.97 ,6725,96.11,1915,27.38,77,87,Jul-12,LGA1155,Desktop,
Intel Core i5-4460 @ 3.20GHz,$204.31 ,6724,32.91,1942,9.51,84,80,May-14,LGA1150,Desktop,
Intel Core i5-7300HQ @ 2.50GHz,NA,6716,NA,1858,NA,45,149,Jan-17,NA,Laptop,
Intel Core i7-3612QE @ 2.10GHz,NA,6712,NA,1505,NA,35,191,Oct-12,BGA1224,Laptop,
Intel Xeon E5-2648L @ 1.80GHz,NA,6698,NA,1028,NA,70,95,Sep-15,LGA 2011,Server,
Intel Core i7-3635QM @ 2.40GHz,NA,6677,NA,1531,NA,45,148,Jan-12,NA,Laptop,
Intel Core i5-2550K @ 3.40GHz,$190.00*,6672,35.12,1936,10.19,95,70,Feb-12,LGA1155,Desktop,
AMD Opteron 4284,$59.99*,6660,111.03,1116,18.6,95,70,Feb-13,Socket C32,Server,
Intel Core i7-2820QM @ 2.30GHz,$191.02*,6646,34.79,1558,8.16,45,147,Feb-11,BGA1224,Laptop,
Intel Core i7-985 @ 3.47GHz,NA,6641,NA,1544,NA,NA,NA,Nov-14,LGA1366,Unknown,
AMD FX-8120 Eight-Core,$222.73*,6639,29.81,1219,5.48,125,53,Oct-11,AM3+,Desktop,
Intel Xeon E5-2430L v2 @ 2.40GHz,NA,6627,NA,683,NA,60,110,Feb-15,LGA 1356,Server,
Intel Core i5-3475S @ 2.90GHz,$143.50*,6617,46.12,1899,13.24,65,101,Jan-12,LGA1155,Desktop,
Intel Core i3-7350K @ 4.20GHz,$194.95 ,6593,33.82,2428,12.45,60,109,Jan-17,FCLGA1151,Desktop,
Intel Atom C3958 @ 2.00GHz,$449.00*,6586,14.67,791,1.76,31,212,Aug-19,FCBGA1310,Server,
Intel Core i5-6500TE @ 2.30GHz,$209.99 ,6580,31.34,1749,8.33,35,188,Dec-15,LGA 1151,Desktop,
Intel Core i7-2760QM @ 2.40GHz,$209.95*,6557,31.23,1589,7.57,45,145,Sep-11,BGA1224,Laptop,
Intel Core i5-4690T @ 2.50GHz,NA,6547,NA,1955,NA,45,145,Dec-14,LGA1150,Desktop,
Intel Core i7-3610QE @ 2.30GHz,NA,6544,NA,1401,NA,45,145,Apr-12,rPGA988B,Laptop,
Intel Core i5-3450 @ 3.10GHz,$219.33*,6537,29.81,1857,8.47,77,84,Apr-12,LGA1155,Desktop,
Intel Core i5-4440 @ 3.10GHz,$497.00*,6519,13.12,1879,3.78,84,77,Jan-13,FCLGA1150,Desktop,
Intel Core i7-6822EQ @ 2.00GHz,NA,6501,NA,1400,NA,25,260,Feb-16,LGA 1151,Laptop,
Intel Core i5-2500K @ 3.30GHz,$434.26*,6488,14.94,1898,4.37,95,68,Dec-10,LGA1155,Desktop,
Intel Core i7-7567U @ 3.50GHz,$889.98*,6465,7.26,2261,2.54,28,230,Mar-17,BGA1356,Laptop,
Intel Xeon E3-1235L v5 @ 2.00GHz,NA,6462,NA,1647,NA,25,258,Mar-17,FCLGA1151,Server,
Intel Xeon X5672 @ 3.20GHz,$44.99*,6461,143.61,1434,31.88,95,68,Sep-11,LGA1366,Server,
Intel Xeon E5-1603 v4 @ 2.80GHz,NA,6454,NA,1619,NA,140,46,Feb-17,FCLGA2011-3,Server,
AMD Opteron 4280,$50.00*,6430,128.6,1078,21.57,95,67,Feb-14,Socket C32,Server,
Intel Core i5-4460S @ 2.90GHz,$659.99*,6430,9.74,1914,2.9,65,98,May-14,LGA1150,Desktop,
Intel Xeon E5645 @ 2.40GHz,$81.31*,6424,79.01,1091,13.43,80,80,Apr-11,LGA1366,Server,
Intel Core i3-7320 @ 4.10GHz,$182.72*,6417,35.12,2345,12.84,51,125,Jan-17,FCLGA1151,Desktop,
AMD FX-6300 Six-Core,$183.46 ,6408,34.93,1407,7.67,95,67,Oct-12,AM3+,Desktop,
Intel Core i5-3470S @ 2.90GHz,$89.00 ,6395,71.86,1861,20.92,65,98,Jul-12,LGA1155,Desktop,
AMD Opteron 3380,$809.00*,6384,7.89,1054,1.3,65,98,Apr-13,NA,Server,
Intel Xeon E3-1505L v5 @ 2.00GHz,NA,6374,NA,1531,NA,25,254,Mar-17,FCBGA1440,Laptop, Server
Intel Core i5-2500 @ 3.30GHz,$55.00 ,6353,115.51,1878,34.16,95,66,Dec-10,LGA1155,Desktop,
Intel Core i5-4430 @ 3.00GHz,$159.99 ,6339,39.63,1826,11.42,84,75,Jun-13,LGA1150,Desktop,
Intel Core i5-7400T @ 2.40GHz,$205.27 ,6333,30.85,1693,8.25,35,180,Nov-16,LGA1151,Desktop,
Intel Core i3-7300 @ 4.00GHz,$171.84*,6328,36.83,2305,13.41,51,124,Jan-17,FCLGA1151,Desktop,
Intel Core i5-6500T @ 2.50GHz,$144.99*,6301,43.46,1717,11.85,35,180,Oct-15,LGA 1151,Desktop,
Intel Xeon E3-1260L @ 2.40GHz,$56.02*,6266,111.85,1592,28.43,45,139,Jul-11,LGA1155,Server,
Intel Core i5-4440S @ 2.80GHz,$462.97*,6256,13.51,1861,4.02,65,96,Dec-13,LGA1150,Desktop,
Intel Xeon E3-1220 @ 3.10GHz,$52.98 ,6250,117.99,1741,32.88,80,78,Aug-11,LGA1155,Server,
Intel Xeon L5640 @ 2.27GHz,$83.36*,6232,74.77,1095,13.14,60,103,Sep-10,LGA1366,Server,
Intel Core i5-3450S @ 2.80GHz,$145.01 ,6229,42.96,1812,12.5,65,95,May-12,LGA1155,Desktop,
Intel Core i5-6440EQ @ 2.70GHz,NA,6223,NA,1845,NA,45,138,Oct-16,FCBGA1440,Laptop,
Intel Xeon E5-1607 v2 @ 3.00GHz,$34.95*,6217,177.91,1605,45.94,130,47,Mar-14,LGA 2011,Server,
AMD FX-6130 Six-Core,NA,6215,NA,1313,NA,125,49,Mar-13,AM3+,Desktop,
Intel Xeon E5-1603 v3 @ 2.80GHz,$99.99*,6202,62.03,1555,15.56,140,44,Jan-15,LGA2011-v3,Server,
Intel Xeon X5667 @ 3.07GHz,$23.33*,6198,265.7,1386,59.43,95,65,Jul-10,LGA1366,Server,
Intel Xeon W3580 @ 3.33GHz,$214.50*,6183,28.83,1489,6.94,130,47,Nov-09,LGA1366,Server,
AMD Opteron 6174,$65.00 ,6171,94.94,780,12.01,115,53,May-13,Socket G34,Server,
Intel Core i5-4670T @ 2.30GHz,$259.02*,6155,23.76,1830,7.07,45,136,Jun-13,FCLGA1150,Desktop,
Intel Core i5-3350P @ 3.10GHz,$149.99*,6154,41.03,1748,11.66,69,89,Oct-12,LGA1155,Desktop,
Intel Core i5-2450P @ 3.20GHz,$89.99*,6149,68.34,1778,19.76,95,64,Feb-12,LGA1155,Desktop,
AMD Ryzen 3 3300U,NA,6143,NA,1427,NA,15,409,Aug-19,FP5,Laptop,
AMD FX-8140 Eight-Core,NA,6133,NA,1045,NA,95,64,Mar-12,AM3+,Desktop,
AMD PRO A12-9800,$169.00*,6132,36.29,1909,11.3,65,94,Jan-17,AM4,Desktop,
Intel Core i3-8109U @ 3.00GHz,NA,6121,NA,2139,NA,28,218,Oct-18,FCBGA1528,Laptop,
Intel Core i7-975 @ 3.33GHz,$409.92 ,6114,14.92,1459,3.56,130,47,Jun-09,LGA1366,Desktop,
AMD FX-6200 Six-Core,$339.95 ,6107,17.97,1300,3.83,125,48,Mar-12,AM3+,Desktop,
AMD Ryzen 3 2300U,NA,6104,NA,1551,NA,15,406,Jul-18,FP5,Laptop,
Intel Core i5-3340 @ 3.10GHz,$293.01*,6102,20.83,1751,5.98,77,79,Oct-13,LGA1155,Desktop,
Intel Core i7-2720QM @ 2.20GHz,$189.95*,6100,32.11,1457,7.67,45,135,Jan-11,BGA1224,Laptop,
AMD Opteron 4334,$216.42*,6099,28.18,1208,5.58,95,64,Mar-16,Socket C32,Server,
Intel Core i5-6300HQ @ 2.30GHz,NA,6097,NA,1673,NA,45,135,Oct-15,LGA 1151,Laptop,
Intel Xeon E3-1225 @ 3.10GHz,$63.99 ,6094,95.24,1765,27.58,95,64,Jan-11,LGA1155,Server,
Intel Xeon W5590 @ 3.33GHz,508.95*,6088,2.43,1471,0.59,130,46,Sep-09,LGA1366,Server,
AMD Opteron 3365,NA,6088,NA,1085,NA,65,93,Nov-14,AM3+,Server,
AMD PRO A12-8870,NA,6067,NA,1899,NA,65,93,Jan-17,AM4,Desktop,
Intel Xeon W3570 @ 3.20GHz,$479.95*,6047,12.6,1463,3.05,130,46,Jul-09,LGA1366,Server,
Intel Core i3-6320 @ 3.90GHz,$405.00 ,6046,14.93,2234,5.52,51,118,Oct-15,LGA 1151,Desktop,
Intel Core i7-7660U @ 2.50GHz,NA,5988,NA,2155,NA,15,399,May-17,BGA1356,Laptop,
Intel Core i5-2400 @ 3.10GHz,$29.99 ,5972,199.15,1747,58.26,95,62,Dec-10,LGA1155,Desktop,
AMD FX-8100 Eight-Core,$142.00*,5964,42,1094,7.7,95,62,Jan-12,AM3+,Desktop,
