CPU Name,Price1,CPU Mark,CPU Value2,Thread Mark,Thread Value3,TDP (W),Power Perf.4,Test Date5,Socket,Category,
AMD Ryzen 5 3600X,$243.98 ,20494,84,2915,11.95,95,215,Jul-19,AM4,Desktop,
Intel Core i7-7900X @ 3.30GHz,NA,20474,NA,2444,NA,140,146,Aug-17,FCLGA2066,Desktop,
Intel Xeon Gold 6137 @ 3.90GHz,NA,20443,NA,2352,NA,205,99,Jan-19,FCLGA-3647,Server,
Intel Core i9-9900KF @ 3.60GHz,$488.98 ,20442,41.81,2906,5.94,95,215,Apr-19,FCLGA1151-2,Desktop,
Intel Xeon E5-2682 v4 @ 2.50GHz,NA,20420,NA,1660,NA,120,170,Sep-17,FCLGA2011-3,Server,
AMD EPYC 7401P,$860.78 ,20221,23.49,1488,1.73,155,130,Nov-17,SP3,Server,
Intel Core i9-9900K @ 3.60GHz,$471.99 ,20192,42.78,2893,6.13,95,212,Oct-18,FCLGA1151-2,Desktop,
AMD Ryzen Threadripper 1920X,$280.82 ,20029,71.32,2024,7.21,180,111,Aug-17,sTR4,Desktop,
AMD Ryzen 5 3600,$194.00 ,19900,102.58,2811,14.49,65,306,Jun-19,AM4,Desktop,
Intel Xeon E5-2680 v4 @ 2.40GHz,509.00*,19886,13.18,1779,1.18,120,165,May-16,FCLGA2011-3,Server,
Intel Xeon E5-2687W v4 @ 3.00GHz,174.99*,19863,9.13,1894,0.87,160,124,May-16,FCLGA2011-3,Server,
Intel Xeon E5-2686 v4 @ 2.30GHz,NA,19801,NA,1476,NA,145,136,Oct-16,FCLGA2011-3,Server,
Intel Xeon W-2145 @ 3.70GHz,189.76*,19765,16.61,2520,2.12,140,141,Dec-17,FCLGA2066,Server,
Intel Core i7-9800X @ 3.80GHz,$574.68 ,19763,34.39,2524,4.39,165,119,Dec-18,FCLGA2066,Desktop,
Intel Xeon E5-2689 v4 @ 3.10GHz,NA,19744,NA,2167,NA,165,119,Aug-16,FCLGA2011-3,Server,
Intel Xeon Gold 6126 @ 2.60GHz,889.97*,19711,10.43,1909,1.01,125,157,Mar-18,FCLGA3647,Server,
Intel Xeon E5-2695 v3 @ 2.30GHz,$489.99*,19710,40.23,1885,3.85,120,164,Sep-14,LGA2011-v3,Server,
Intel Xeon Gold 6144 @ 3.50GHz,925.00*,19667,6.72,2380,0.81,150,131,Oct-17,FCLGA3647,Server,
Intel Xeon E-2288G @ 3.70GHz,$539.00*,19666,36.49,2756,5.11,95,207,Sep-19,FCLGA1151-2,Server,
Intel Xeon E5-4669 v3 @ 2.10GHz,400.00*,19615,3.63,1659,0.31,135,145,Dec-15,FCLGA2011-3,Server,
Intel Xeon D-2183IT @ 2.20GHz,764.00*,19381,10.99,1630,0.92,100,193,May-18,FCBGA2518,Server,
Intel Xeon E5-2686 v3 @ 2.00GHz,NA,19255,NA,1530,NA,120,160,Aug-15,LGA2011-v3,Server,
Intel Xeon E5-2690 v3 @ 2.60GHz,$245.00 ,19250,78.57,1977,8.07,135,142,Sep-14,LGA2011-v3,Server,
AMD Ryzen Threadripper 2990X,NA,19227,NA,2098,NA,250,76,Oct-18,TR4,Desktop,
Intel Xeon E5-2683 v4 @ 2.10GHz,208.93*,19047,8.62,1522,0.69,120,158,Dec-16,FCLGA2011-3,Server,
Intel Core i9-9900 @ 3.10GHz,$439.99 ,18633,42.35,2823,6.42,65,286,Jul-19,FCLGA1151-2,Desktop,
Intel Xeon W-2140B @ 3.20GHz,NA,18610,NA,2353,NA,NA,NA,Jan-18,FCLGA2066,Server,
Intel Xeon E-2286M @ 2.40GHz,$623.00*,18544,29.77,2778,4.46,45,412,Jul-19,FCBGA1440,Laptop,
Intel Core i7-7820X @ 3.60GHz,$519.99 ,18519,35.61,2397,4.61,140,132,Jun-17,FCLGA2066,Desktop,
Intel Xeon E5-2680 v3 @ 2.50GHz,$675.19 ,18467,27.35,1862,2.76,120,153,Oct-14,LGA2011-v3,Server,
Intel Xeon Gold 5120 @ 2.20GHz,561.00*,18253,11.69,1796,1.15,105,173,Dec-17,FCLGA3647,Server,
Intel Xeon E5-1681 v3 @ 2.90GHz,NA,18238,NA,2017,NA,135,135,Apr-16,LGA2011-v3,Server,
Intel Xeon Gold 5120T @ 2.20GHz,727.00*,18145,10.51,1722,1,105,172,Apr-18,FCLGA3647,Server,
Intel Xeon E5-2687W v3 @ 3.10GHz,$589.99 ,17795,30.16,1953,3.31,160,111,Oct-14,LGA2011-v3,Server,
Intel Xeon E5-2676 v3 @ 2.40GHz,NA,17670,NA,1731,NA,120,147,Nov-15,LGA2011-v3,Server,
Intel Core i9-9980HK @ 2.40GHz,$583.00*,17669,30.31,2688,4.61,45,392,May-19,FCBGA1440,Laptop,
Intel Xeon Silver 4214 @ 2.20GHz,$640.00 ,17630,27.55,1771,2.77,85,207,Sep-19,FCLGA3647,Server,
Intel Core i7-6900K @ 3.20GHz,$701.85 ,17614,25.1,2186,3.11,140,125,Jun-16,FCLGA2011-3,Desktop,
Intel Xeon E5-2683 v3 @ 2.00GHz,$509.99*,17325,33.97,1656,3.25,120,144,Feb-15,LGA2011-v3,Server,
Intel Xeon E5-2658 v4 @ 2.30GHz,NA,17275,NA,1505,NA,105,164,Dec-16,FCLGA2011-3,Server,
Intel Core i7-9700K @ 3.60GHz,$339.99 ,17201,50.59,2817,8.29,95,181,Oct-18,FCLGA1151-2,Desktop,
Intel Xeon E5-2697 v2 @ 2.70GHz,$309.00 ,17198,55.66,1733,5.61,130,132,Jun-13,FCLGA2011,Server,
Intel Core i7-9700KF @ 3.60GHz,$359.99*,17188,47.75,2811,7.81,95,180,Apr-19,FCLGA1151-2,Desktop,
AMD Ryzen 7 PRO 2700X,NA,17161,NA,2143,NA,105,163,Jul-18,AM4,Desktop,
AMD Ryzen 5 3500X,NA,17073,NA,2930,NA,65,262,Oct-19,AM4,Desktop,
Intel Xeon E5-1680 v4 @ 3.40GHz,NA,17063,NA,2183,NA,140,121,Oct-16,FCLGA2011-3,Server,
Intel Xeon E5-2678 v3 @ 2.50GHz,NA,16993,NA,1724,NA,120,141,Aug-15,LGA2011-v3,Server,
AMD Ryzen 7 2700X,$194.99 ,16964,87,2184,11.2,105,161,Apr-18,AM4,Desktop,
Intel Xeon E5-2660 v4 @ 2.00GHz,499.99*,16880,11.25,1588,1.06,105,160,Nov-16,FCLGA2011-3,Server,
Intel Core i9-9880H @ 2.30GHz,$556.00*,16785,30.19,2573,4.63,45,373,May-19,FCBGA1440,Laptop,
Intel Xeon E5-2670 v3 @ 2.30GHz,$154.99 ,16765,108.17,1715,11.07,120,139,Aug-14,LGA2011-v3,Server,
Intel Xeon E-2246G @ 3.60GHz,$311.00*,16714,53.74,2858,9.19,80,208,Aug-19,FCLGA1151-2,Server,
Intel Core i7-8086K @ 4.00GHz,$552.96*,16677,30.16,2825,5.11,95,175,Jun-18,FCLGA1151-2,Desktop,
Intel Xeon Gold 5117 @ 2.00GHz,NA,16672,NA,1444,NA,105,158,Oct-17,NA,Server,
Intel Xeon E5-2667 v4 @ 3.20GHz,949.03*,16631,8.53,2002,1.03,135,123,Jul-16,FCLGA2011-3,Server,
Intel Xeon E5-2696 v2 @ 2.50GHz,NA,16620,NA,1667,NA,NA,NA,Sep-13,LGA2011,Server,
Intel Core i7-9700F @ 3.00GHz,$324.90 ,16486,50.74,2706,8.33,65,253,Jun-19,FCLGA1151-2,Desktop,
Intel Xeon Gold 5118 @ 2.30GHz,049.36*,16435,15.66,1728,1.65,105,156,Dec-17,FCLGA3647,Server,
Intel Xeon E5-2660 v3 @ 2.60GHz,$216.41 ,16429,75.92,1861,8.6,105,156,Sep-14,LGA2011-v3,Server,
Intel Xeon E5-2690 v2 @ 3.00GHz,$429.76 ,16406,38.18,1823,4.24,130,126,Jul-13,FCLGA2011,Server,
Intel Xeon E5-2673 v3 @ 2.40GHz,$700.00*,16401,23.43,1666,2.38,110,149,Sep-15,LGA2011-v3,Server,
Intel Xeon E5-2687W v2 @ 3.40GHz,$359.90*,16343,45.41,2040,5.67,150,108,Jul-13,FCLGA2011,Server,
Intel Xeon E5-1680 v3 @ 3.20GHz,NA,16325,NA,2115,NA,140,116,Mar-15,LGA2011-v3,Server,
Intel Xeon E5-2673 v2 @ 3.30GHz,NA,16320,NA,2009,NA,110,148,Apr-16,LGA 2011,Server,
Intel Xeon E5-2658 v3 @ 2.20GHz,NA,16298,NA,1682,NA,105,155,Oct-15,LGA2011-v3,Server,
Intel Xeon W-2135 @ 3.70GHz,$900.15*,16296,18.1,2533,2.81,140,116,Nov-17,FCLGA2066,Server,
Intel Xeon E-2286G @ 4.00GHz,$450.00*,16270,36.16,2744,6.1,95,171,Oct-19,FCLGA1151-2,Server,
Intel Xeon E5-1680 v2 @ 3.00GHz,NA,16250,NA,2065,NA,130,125,Sep-14,LGA 2011,Server,
Intel Xeon E5-1660 v4 @ 3.20GHz,229.52*,16203,13.18,2033,1.65,140,115,Oct-16,FCLGA2011-3,Server,
Intel Xeon E5-2667 v3 @ 3.20GHz,$398.14 ,16174,40.62,2077,5.22,135,119,Dec-14,LGA2011-v3,Server,
Intel Xeon E5-2667 v2 @ 3.30GHz,$330.00*,16165,48.98,2011,6.09,130,124,Feb-14,LGA 2011,Server,
AMD Ryzen Threadripper 1900X,$149.99 ,16069,107.14,2063,13.76,180,89,Sep-17,sTR4,Desktop,
Intel Xeon E5-2695 v2 @ 2.40GHz,$258.99 ,16041,61.94,1619,6.25,115,139,Dec-13,LGA 2011,Server,
Intel Xeon E5-2692 v2 @ 2.20GHz,NA,16018,NA,1605,NA,115,139,Apr-16,LGA 2011,Server,
Intel Core i7-5960X @ 3.00GHz,042.93*,15992,15.33,1999,1.92,140,114,Aug-14,LGA2011-v3,Desktop,
Intel Xeon Silver 4210 @ 2.20GHz,$599.95 ,15974,26.63,1662,2.77,85,187,Aug-19,FCLGA3647,Server,
Intel Core i7-9700 @ 3.00GHz,$349.99 ,15952,45.58,2712,7.75,65,245,Jun-19,FCLGA1151-2,Desktop,
Intel Core i7-8700K @ 3.70GHz,$375.95 ,15933,42.38,2697,7.18,95,167,Oct-17,FCLGA1151-2,Desktop,
Intel Xeon E5-4657L v2 @ 2.40GHz,399.00*,15896,11.36,1496,1.07,115,138,Jan-15,FCLGA2011,Server,
Intel Xeon E5-2680 v2 @ 2.80GHz,$175.00 ,15890,90.8,1826,10.43,115,138,Jul-13,FCLGA2011,Server,
Intel Xeon E5-4660 v3 @ 2.10GHz,800.00*,15849,3.3,1670,0.35,120,132,May-17,FCLGA2011-3,Server,
Intel Xeon E-2186G @ 3.80GHz,$524.99*,15838,30.17,2730,5.2,95,166,Nov-18,FCLGA1151-2,Server,
Intel Xeon E-2136 @ 3.30GHz,$324.46*,15793,48.68,2643,8.15,80,197,Nov-18,FCLGA1151-2,Server,
Intel Xeon E-2146G @ 3.50GHz,$354.99*,15620,44,2598,7.32,80,195,Aug-18,FCLGA1151-2,Server,
AMD Ryzen 7 1800X,$289.99 ,15538,53.58,1970,6.79,95,163,Feb-17,AM4,Desktop,
Intel Xeon E-2176G @ 3.70GHz,$447.61*,15527,34.69,2693,6.02,80,194,Oct-18,FCLGA1151-2,Server,
Intel Xeon E5-4627 v4 @ 2.60GHz,225.00*,15516,6.97,1865,0.84,135,114,Apr-17,FCLGA2011-3,Server,
Intel Xeon Silver 4116 @ 2.10GHz,$943.13*,15509,16.44,1576,1.67,85,182,Jan-18,FCLGA3647,Server,
Intel Xeon E5-2640 v4 @ 2.40GHz,$920.27*,15420,16.76,1857,2.02,90,171,Apr-16,FCLGA2011-3,Server,
AMD Ryzen 7 PRO 2700,NA,15406,NA,2052,NA,65,237,Aug-18,AM4,Desktop,
AMD Ryzen 7 PRO 1700X,NA,15324,NA,1984,NA,95,161,Jun-17,AM4,Desktop,
Intel Xeon Silver 4215 @ 2.50GHz,$749.00*,15200,20.29,1981,2.65,85,178,Jun-19,FCLGA3647,Server,
Intel Xeon Silver 4123 @ 3.00GHz,NA,15185,NA,1855,NA,105,144,Feb-18,NA,Server,
Intel Core i7-8700 @ 3.20GHz,$389.30 ,15137,38.88,2626,6.75,65,232,Oct-17,FCLGA1151-2,Desktop,
Intel Xeon E5-2675 v3 @ 1.80GHz,NA,15137,NA,1241,NA,NA,NA,Jan-16,LGA2011-v3,Server,
AMD Ryzen 7 2700,$169.99 ,15085,88.74,1986,11.69,65,232,Apr-18,AM4,Desktop,
Intel Xeon E5-2670 v2 @ 2.50GHz,$209.00 ,15021,71.87,1617,7.74,115,130,Feb-14,FCLGA2011,Server,
Intel Xeon E5-2685 v3 @ 2.60GHz,NA,15004,NA,1737,NA,120,125,Jun-15,LGA2011-v3,Server,
AMD EPYC 7301,$863.99 ,14978,17.34,1270,1.47,155,96,Apr-19,SP3,Server,
Intel Xeon Gold 6128 @ 3.40GHz,759.75*,14941,8.49,2113,1.2,115,129,Oct-17,FCLGA3647,Server,
AMD EPYC 7351P,$947.33 ,14887,15.71,1530,1.62,155,96,Nov-17,SP3,Server,
Intel Xeon E5-2650 v3 @ 2.30GHz,$122.52 ,14883,121.48,1680,13.71,105,141,Sep-14,LGA2011-v3,Server,
AMD Ryzen 7 1700X,$171.00 ,14812,86.62,1886,11.03,95,155,Mar-17,AM4,Desktop,
Intel Core i7-8700B @ 3.20GHz,$303.00*,14802,48.85,2646,8.74,65,227,Jan-19,FCBGA1440,Laptop,
Intel Xeon E5-2649 v3 @ 2.30GHz,NA,14677,NA,1591,NA,105,139,Feb-18,LGA2011-v3,Server,
Intel Xeon E5-1660 v3 @ 3.00GHz,616.49*,14656,9.07,1836,1.14,140,104,Oct-14,LGA2011-v3,Server,
Intel Core i7-7800X @ 3.50GHz,$509.99*,14634,28.7,2261,4.43,140,104,Jun-17,FCLGA2066,Desktop,
Intel Xeon E5-2618L v4 @ 2.20GHz,$779.00*,14572,18.71,1706,2.19,75,194,Oct-17,FCLGA2011-3,Server,
Intel Xeon E-2186M @ 2.90GHz,$623.00*,14521,23.31,2599,4.17,45,322,Apr-18,FCBGA1440,Laptop,
Intel Xeon E5-4627 v3 @ 2.60GHz,400.00*,14489,6.04,1791,0.75,135,107,Dec-16,FCLGA2011-3,Server,
Intel Xeon D-1567 @ 2.10GHz,NA,14482,NA,1534,NA,65,222,Apr-17,FCBGA1667,Server,
Intel Xeon W-2133 @ 3.60GHz,$617.00*,14382,23.31,2185,3.54,140,102,Sep-17,FCLGA2066,Server,
